id,text
28,in ui bo tshu li ham hoo sing e bun te soo i e ing kiong tioh si giam kiat ko e phin tsit
29,suah loh lai beh lai siau kai hue ling ki e an tsuan siat ti to sing mng ti hue ling ki e nng ping sang soo am ti thau khah ting kiu sing i ti i a kha
30,tiam tiam tit pinn a tso bo su jin
31,li tsit e lau kau li kam bo hn
32,iah gam tsioh iu huat tian kin ope te ui put po
33,he tian tong tshia honnh tsau be tin tang in kai si bo tian a ai ka bat te li theh tshut lai e tshiong tian tsit e
34,kau pann iau u tsiok tse siau lian lang e tua gi tah khi liok tsa boo gin a
35,tsit uann thoo tau thnn khong ka mi in mi mi tsiann ho loh au
36,u lang tih leh bo ulang ti leh bo a
37,tse to tso sing m na si kann gak siunn kheh hui iong siunn kuan kuan li siunn khun lan nia nia tsiah tse lang khi kuainn
38,sony tshiu ki a kam u ho iong
39,lai hang lang toh lo u hing ui gua hang e kong guau ok kiah khiah
40,kau tann guan tsu bin e tang iong ka ti e bun gi sia kong bun khah si si tsuan hing tsing gi koh tsai hua tsit tua poo
41,hngh m tsiann niau
42,lai kai tsip tsoo tsih ah si tse tshai po hing
43,gun ping io liam mi to beh lai a tsiah ma hua li theh gua e io bi tsit kua mih kiann tshia lang tsiah
44,si sit giam poo soo
45,li si tui to ui tit tioh tsit tsiah ang na e
46,ho ho ho lah a biau kuaie lan to beh tsiat su ho lah mai hau honnh uai
47,khah kong ma he
48,han tsing li tsim tsiok ka siau lian ke khuann khuann beh ka kong siau lian leh li tsa iann bo gua e inn a tsiah sann liap bian tsinn neh
49,siann mih lang kong li ouo tshin ba khuainn e si m
50,kiann
51,oo to bai si tsiann ping siong e kau thong kang khu tsuan tai uan tshue bo lang be hiau khia oo too bai e
52, tsiok tian nuo e phah tsiat long si ke kin pun bo siok gua tse
53,lang gua ko sann pit giap e ing gi tsuan giap thak nng ni
54,tui putin lai kong tse tai piau i kiong ngeh tui khong bi kok kah au tsiu tih tioh sing li
55,senn ang leh kau uan si to tsit e
56,lai khui mng leh
57,tui in tshu lai  tshiong kik si siang khuan in tiong tuan e hin sing beh an tsuann
58,eh ting ai e lah
59,ong thai thai lin sim pu u sit tsai tsin gau tsu kah kui to phang kong kong
60,tsit te phang lai te khu li  mu iau koh sio sio gin a lang un ai tsiah e
61,tsu tsia e lang kah i be tsit te thoo tho hi i hiam siunn tse thuah to kuann khi hing hoo lang
62,kau a a uann kio
63,gua ka ti lai to e sai ah
64,gua hit tai tshia tsue kin tsiah ka sit liap thai ia tsuan poo uann kue
65,sann siu siu oo ho kin khi khun
66,ling gua pun sit giam tshai iong kan hua e su lui tan tann hun tua lui tong sumia su hing iong su ting ting
67,m pha ah hah ah
68,tsue pham be khi li kho ling ai tau tsit tai phang phu lai phang
69,tsit ma ma si kang khuan ah
70,mui tsit e lang long si tok li beh mui tsit e lang long bu ka ti e sing uah king giam kah ti sik
71,tsu hong be tang pai thik sin lo a si khi pin thau loo e lang kong tai gi
72,lan tsap ni tsing ka jip a lut o be be mih kiann khah bo khio sue
73,bo jin ho e kuan he
74,iau m koh tai uan tian iann si gua e senn mia bo lun an tsuann gua iang uan long be hong khi
75,gua e ka a kong tshuah lai khi tshai tshi a
76,e i tsinn kuat leh tue lang tsau ah
77,na tshuan khui e hiunn tong lian si he ku
78,kiong tsing khong
79,gua
80,u i guan ah si u kho ling ti li khong it liok ni tsham suan tsong tong e kiong ho tong jin su
81,bo gua sit leh
82,tse tshe phainn a bin ting u sann e tsiu tsiu sanne sik tsui long bo kang
83,tsi pot ko tse ka lian bing lai te ki tha tong phai e i kian u sio khan lian
84,tshin tshiunn tinn kueh pat po png ting mi tsui tsiah mih long ai iong tsut bi lai tso
85,tso tsit kua sin the bo tianne kah i e tai tsi phoo phoo thann thannh tsiong i tsing gik thai sin the e giah
86,a san a pa me kue a
87,tsio gua tsit kha su li pah phah ka tsuah
88,li thau mng tshui tshiu peh lau khok kok gah iau koh siunn beh kah lang tshua sui boo ooh
89,sing beh ka ti khuann vr to ai sin khi be tsit tsoo khah ho e g p u siat pi
90,tsin tsing kui kang gua kau tsing tshik e sia tiunn daverowsco tu ho ma sia bun tsiunn ki tshut tsit tsiong tso huat u tsin tse hong hiam pau kuah bo huat too ing hiong su thai e kiat ko lai po tsing bi kok e li ik sim tsi siong bue ma si tioh theh pat lang tshit kha tshung
91,soo i kuah be kah li ke kau
92,phinnh i hiong e sng tshoo shim liah thang phuennh pang hoo tshoo tsong e u hit kang tsiong li pho si kgua e bang
93,ah beh siann poo
94,an ne tso tam ok khe
95,an ne lah
96,i sing jin iau koh u tsin tng e loo an kiann
97,gua kong li tsit e koo mng kau ah guan li tua e leh ka li kong ue li tsit ma si siann thai tooh ah
98,u gua khiong pooh to tshin tshiunn clintan si gueh ji kau ti niong iok e cr pi a tai hak tsit tiunn ian sat kong e
99,goo tiam ji am v n su tsoo
100,lai tsiah pai tui honnh
101,long hoo se hong mui the khuann tso si sin tsing khuan tui gua tsing tshik kha tok lip tsiah kik ia piau hian
102,lau hiann ti ah puah lo to pua loh khi ah li m thang tua sue siann
103,tan si
104,sa bak a tu liau kau tshi i gua koh u siann mih kik sik
105,i kiann kah bin sik peh sut sut
106,i ui tik hio bang lne king lian kong ong po tshuan ka sih ping kui si thau tsit tshut tai uan lang hit be tua ki phinn tian iann
107,tsai tiunn e hai mi a tong tshi hwi thai ko nua lo senn thau huat bue khue khau phuah siunn uai ko tshi tshuah khuann tioh ua be khi ke bo phue
108,li tshiann gua bo nng pai to huan hue ah
109,saudi tshit tsap kau hue sin kok ong samen kin ni tsiann gueh tsiah ting ki tse ui
110,tiong koo m khing hoo bi kok a hit tshit an kiu ke tse e penn tooh sam phuh luh
111,thng siunn tinn gua bo se ji tsiah tioh li e khoo
112,sin tik tshi tsit ui koo hue tsa poo gin a in ui ui tng iam phiaka tshut tua tng phah khang king kue kin kip e tshiu sut tsiah kue bin
113,sit an tsuann in e tang khuann bian tsinn e guan beh ing tsit lah
114,a peh si gua
115,ka gua tse long tse tsiah khui
116,ooh m
117,ho tshiann
118,tng tang sin the huat tshut sin sit kong i i king siunn pa li suah kong m koh ke nng ko tsin sui
119,puann koh gua kueh ah thau kie niu si tai pak ai e i tso lang tsin ho
120,ikhia e mih kiann kai ho tauh bian gua ku to tau e ho
121,tsan ne kam mooh a pah too li the i tshing ka
122,siunn khuann mai kong khuann mai be a kah iunn a tsha ti to
123,ting ki si kan kau a tak ke kin khi hau ki sik tsun pi ting ki tsin tsing ai sing tshuan ho hoo tsiau kah ting ki tsing tsiau sun si pai tui kiam tsa liau tsiah lai e ting ki
124,a an pi a huat ke kai khiam
125,li na koh kiam ji sann tsap hue a honnh gua tsiah phah hoo li tsiah
126,lan hun sann tsiong tsing hing lai tho lun
127,tioh a thann e u kho ling tsiah bian tsinn lah
128,li ie phue hu buann khi lai iu iu iu be su na e gin a leh
129,kong goo nng ku to beh khi kha tang tshiu ah
130,tshiann li ti too tsi siann liau au khai si lau ue to sia
131,lin kiam bo kong iau u si geh jit tsiu siu kua e si kau ma gua ka lin kong giah bak khuann hng i king sik thang kua lah
132,bo lun tian si ia tian tai tak ke siann siann ku ku kam sia ui tai e bu tshin tak ke long su iau
133,ui tsit e kak too khuann tsu tong gi su tah phue thong ke pio tui su tian su tiau e siu lok e tang the kiong tsit kua kian gi
134,khi lai tsiah pong bo
135,gua kong guah e to bua e lah
136,long si li tsit e tua khoo tai tsiah e ka gua senn tsit e khong kiann
137,iu tong phing sian sinn iu tong ping sian sinn li na pu tng leh tshue li tshiann kau te ji kui tai sio tan to sia
138,ho
139,to tsit khuan se thau tsui siong thian jian lai be nng kuan tng khi tshi khuann mai
140,a kam a
141,hong bun a
142,kin lai kue liau an tsuann
143,tsap ji pue a siak phua kam u iau kin
144,na si tsau kang hoo e kua leh to si thong koo na si khi tsiah kua leh to si phiang kok tse si kang khuan bo kang sai hu tsuat tui m thang hoo m tioh khi
145,li kong leh
146,tse hoo tsan se kai e bing pang kah ti bin khuann tsai kan lai u put li e ing hiong
147,sim kuann
148,tsun muae e hoo gua tsiah
149,gua a put lah e ing tsit su
150,li e hak giap khah iau kin
151,ai iah m si lah
152,hua tso bu hing tshoo tshu khan ting ti tai uan hian tai si teh sann tsap jit ki
153,siunn beh hoo se kai koh khah uan bi siunn beh hoo ka ting koh khah hing hok siunn beh hoo se mia koh khah tshiong sit soo i
154,kah hit tsam pi tsit tsun jit tsi ke luah hing hoo le
155,in ui hue gam piann tiann su iau hua liau ti liau kue thing hoo i thiann tiuh tiuh
156,ho lin peh beh ka ui ui khi lai
157,ti bi kok pooti moo tsing tsok poo tong tng iam e si tsing tshu bin tsu tong the mia tsham suan tsong tong e
158,ti kiat lun tsok tsiah kong obama e iu tiam si i tsu tiong su iong king tse kah gua kau e lik liong
159,gua khuann be tshut lai e gua sia e tsok pun si to tsit tiam bo ho
160,khuiina e bo kuainn ah
161,ah i to kau hoo li tsiau kook honnh
162,tsiah ping khui mng lo tshia tsin tsing tshiann tsu i tshia siunn kah gue tai tiong  e phang m thang lah bue phang lit
163,ctso tai gi bun bun ku e hun thiah pha sin li iong gi hua tshiu pasin fre kai tsin gi su tah phue e tsing khak lut
164,m sik pinn e ian guan tso khi lai ma bo kai khuai lok loo pinn e ke iu kui jit ing tsian sian
165,iau kiu khah ho e sia hue tsing tshik
166,gun kiann tshing issloo e kam e sai hoo kun tshi tshing
167,tsiong giap soo kam hik po lu si tong king ik kiap kiu tshut bu ki tshu kai huai si kiah sing thann kai
168,kah hue a li u iann tsiok sui e liokh bun long tsiok him sian tsiok kah i li liok pun tong sann khui tshui ka o loh
169,ah li me gua phoo lui si li long tioh gua e neh
170,i tsai too sang kai u tsun giam kah tsit ma e po siann kang khuan
171,u ki hue e ti lak kue te i tsing tah sing hiap bi
172,tia tiann lok loh khi tshan te
173,m bian buah hiah penn
174,a peh
175,beh sann tso si hioh khun
176,kam kak khi lai na e u tam poh a iu tshiu guan lai khuai lok e kuan in m si tso siann mih tai tsi
177,eh khi tship tioh lang e i su
178,hai ang tai gi bun hak gueh khan te tsit pah khong ji khi
179,li kiann loo nai e kuai kuai kam si khi uai tioh
180,i koh sia kong tng tso phai ti tsuan se kai si khi khuan ui kau ting iu koh kong bue u siann
181,mai an ne lah
182,san bak a ti tsa tsing hi siann mih khuan lang leh tsiah e
183,i tsing li tai gi su lui tsong si tse si tua kang ting ma su iau siong se e kui e
184,thau ke ah m thang lah
185,li tsa hit si a pin tua khi lai khi hue
186,a tsit nia iunn tsong tsiok sui e
187,si g e sim kha kam e tang tsha ti sann g e tshiu ki a lai bin
188,sgay si sin bun bang tsap e phing lun ka gnbal poo i lin ui tsin u si tai i gi
189,siong bue hit phinn sua hit e thau tsing tsit puann si ji khong khong pat ni sia e tu tu si to tngtshut pan hit tsit tang
190,liak bi lai hong hiong
191,oo ooh sui ia bai a
192,ping tsiong si khang khue tso kah puann me tsiah png kuan si na pue tian na
193,ho un lah
194,li kam u ing thang ka gua tau siau kai tsit e lai khi siong su si e e a si to tsit siang
195,beh iong ing bun kah lang koo thong e si tsun li iong tsia e gi su tau tshut tsit ku lan liah tso e thong e ing bun ku m koh kong ing gi e lang kho ling sa bo niau a mng
196,thann kai tshu e huai e tsuan ki thann hong te tsong phoo sat pong guan king
197,thinn khi tua kuann thah tsit nia oo ba khah ho
198,ti leh koo tsa si tsun pian tong long e tap tsit liap muen a kah tsit teh thah khu ang
199,pua piann tioh tsun pi tai sing tshiang kui ki tsing lang thiann hun bing su au bo inn tinn
200,lip khi
201,tng lai ah
202,ptn kik hua tui khong e bok tiap ki sit si po tsing i ka ti tsiann ap kok ka e khuan lik
203,kin leh kian leh a ha puah loh khi ah
204,bian koh pian han kah ni te li tsinn to hainn gua lah
205,ti hiah khuann e lang kiah si sam sang kong noo tshinn tshinn tsng tsng
206,gua u khuann tioh
207,peh pah khong lak phinn ia gam tsioh iu huat tian kin opec te ui put po
208,tsit e e ki khi lang e tids si ionghts ah si e thau co fong thu tso e
209,tshin tshiunn han lo poo hun e ong lai am kue tsu pun ing kai si tsit e su
210,i si tsit e tsin louo sit le sian sinn lang
211,bo ka li phian tshuee eme tshai kue poo si tsai u kau ho iong e ah na tsun kong li oo su iau honnh e tang gui gua tsia the kui te a tng khi lu khuann mai
212,li ka sing ua e tiong sim khng ti to ui bo tai tsi thang tso e si li kam e khang hi tsit e lang e si
213,tak ke tsiah te gua lai sann lau tshut king tua thiann pan li ting ki tshiu siok thuan the hing li thok un
214,tshia mng e te to tsit ku e kong huat lan tai gi be an ne kong
215,e sai tsioh tsinn ah si be sai
216,bu a li khuann leh tsiok sui tsiok koo tsui e iunn tsunn neh lang beh ti tsit su lah tsau gin a ki tui po le tu u lai te
217,sit le ooh
218,li tsit e ho me meh
219,a tsi lang kheh kheh khi khi
220,hann
221,tit tsun hoo lan theh lai liah siu khi e tsiau a
222,thau ke gua nau hiah san s e gua na tshing e lueh
223,mai an ne bo tai bo tsi to ka lang phng
224,i kai piap kian siau tai i sing kau kiat kim kong tong kui loh ik e po hiam kim hoo phian liau liau
225,mh
226,be li siunn kheh khi ah
227,tui pok tsu lah puah m tsai to lo tioh sit tioh li honnh soo hue a tsiann se ji an ne ka in
228,kin a jsit e ting hun to honnh kam e sai tshiann li theh gua ka tshit kua tong tshong an lai khi in e ui a ho bo
229,na bian siong pan to u tsinn gua sui si thau loo
230,tu tsia kong hng lai u tsiah tse lang ti hiah sng phok khe mong
231,an ne siu kai u ue bo bun te poo hun kho ling u bun te
232,au piah na bo loh ui hue ka thenn tiau leh tho tik biau khu e tsiu giap haok bu tiong sim kam kann an ne luat bu
233,i ka te sann liap inn a ma tsiah tsiah loh khi na tsiah koh na o lo kong ua gua tsu tshut si kau tann m bat tsiah kue tsi a ni phang e inn a neh
234,li tsa ho eppt sing kia tsit hun hoo gua phinn phang tsit e ho bo
235,a tsui pe a sang hoo gua sann tsap pau tng a
236,gua hiong i suat bing hit kiann tai tsi
237,sian se i tsit kui kang liam mi hua kuann liam i hua luah kam e si tioh ma la li a
238,ai siong sin ka ti it ting phann e tioh lam ping iu
239,e tsai a u lang kha tiang ue lai kong siann mih tsit koh gue ti tiam lai lu jcb lu tshiau kue tsit tshing khoo to sang ho khang
240,an kin lai tsiah png lah
241,tsiu hoo gua koh lin kui pue ah ho bo
242,tsan sing tsia o lo i kiann bu sit loo suann m koh kiong ho tong ti kok hue ka te tse
243,hiong hiong u tsit e lang ka i ioh tsing sin ibak tsiu u nia kim khuann tioh tsit e bin tshiunn tsiok bai e tsa poo lang tsiann tua siann kah huah
244,hun be put tshinn gun tsa boo kiann na u ban it khuann li beh iong siann mih lai pue gua
245,li kam tiau koh u ki thang e hong huat lai tsoo tong siu huat
246,kiam piann tsiah kah khang khannh kio
247,i tshih tshi tshng tshng teh hau li kam long bo thiann e
248,tak ke long kau a lan lai khi thing tshia tiunn tsiunn tshia
249,kiann bi kok iran kiann uah sa udi  ka ti bi kok tse kin kah iam kai sian kuan he i king in khi tsit 
250,i khenn kui puann poo long khenn bo tham
251,siag khi tau the tsit ki phian tsi lai ka ting a giap hoo khui
252,phenn siu lang beh sue si m
253,li tshiu nng lik khi lai sun sua ka li pong hui ap
254,ah gua koh lai tsiau hoo lang kheh lah honnh
255,gua hoo li long lue lah
256,khang ke a lai king to tsit e suan hang siong tho tong
257,li sing kiann tshut khi tan kheh ting a
258,a lak a phah be kua e
259,ah li tsa hng to kio gua khi be tsit kua liau bua khi huan hu lah
260,kuan ho ka ki e tai tsi to ho lan bo tsai tiau kuan pat lang e ing a tai
261,na si ab tiann tiann sing tui tshut hian m koh a au piah e tsiah p i gua e sub thau tsing ma kho ling e tsiap a i gua e su
262,eh kau thong hiah ni bo hong pian
263,kuan si tai pak hiah ni hok tsap li tshu tshu tioh ai e khah se li leh
264,iunn un gian tai han ki sut hak inn tsu sin kang ting he tsoo li kau siu
265,tshu lai e khang khue tap tap ti tih tak hang long ai gua tso na tso e liau
266,kiu khong ni tai hua bun e tsu liau khoo ma khai si ti tai uan tiong kok ting soo tsai kian lip
267,tshiu lai theh hit tiunn phue tsuah na thak bak san a thopt ti
268,tiam tiam
269,tsa khaih thai luu i king pit khui ah ai khah tian hue kio sai hu lai uann
270,khuann lai khi tian iann ingn
271,in e pok buan koh kah lai tsu san tsiah e tsng kha e pun buan hue hap tui sia hue un ting tso sing thiau tsia
272,tah bong si tshiu na siong sui e si tsun bong tsiong it tsheh khoo tso tsit hue bo gua bo li
273,ing am gua tsiah ka li lian lok
274,tsiah bo huan ging lin lah
275,eh
276,honnh lai lai lai than tsio tsiah thai tsio tsiah
277,tsit uann png ling ling
278,thiann kong gin a lang khoo u a khah gau tua
279,gua tsit ma tiam tit liah a tsiunn peh tshu u ing tsiah lai tse lah
280,e ah tsiah long ka ping ting khi lai
281,phang koh tua liap e inn a ooh tsit liap tsit kak gin nng liap nng kak gin sann liak tsiah bian tsinn ooh huah be siann khih in tsit kua kiann loo lang e tsu i
282,ke hai kuan tsin tsing u tsui ah si pat khuan tshiau kue tsit pah si sci e e ik the long ai to tiau u lai tah to a ah si pak e ui kim phin e tshiann tsu tong tan tiau be sai tsah ti sing khu ting
283,nng e lang hiah ni ho suah kiann kau bue bo ua kho ai tshin tshiunn sap bun phue tsing hun na e tsiah ni po
284,thoo kha too jiu ho kut liu siu tioh se ji liau liau a kiann
285,si lah gun tsan ia m tioh ah lah
286,tsit e u thiann sim ea a i koh ka in ting se sing khu tsit pai phah tah liau au theh ut tau kau u ka tshiunn sin ne kang khuan tsing tshah sip tsui u khah sit
287,ah lim peh a m ho ah lah lin tsa boo kiann ui shinn a tsang ting puah loh lai
288,ui tioh siau loo tshi tiunn tua lat thui sak kik tuan e siau hui tsu gi hoo lang tsit si a to sui tiau ti bo pit iau e khai siau
289,tsit hang tshai lai te u tsham leh bong tioh le bong bi tsin kau tsin phang
290,hau tiunn siann mih tai tsi
291,sann tsap phue i au to tso sian a sioo m bian tsiah png a hiooh
292,li sing kiau tshut khi tan ke ting a
293,pio it ka mi kah cr thau tsing sann tsap tsit pah goo pah tsit tshing sann tshing goo tshing e kiong tong su tsoo e soo liong liat tshut lai han lo kah tsuan lo hun khui sng thai tho lun tsit e su tsoo ti mi kah cr tng eh thong ke pio long u tshut hian
294,peh khi li khuann mai
295,bo khuann e khai e kue sim
296,sun sun leh e
297,li hit lo gah suh kam u kuainn u kah suh bi tsau tshut lai
298,in ui siam pi oo tok bai suah tsing tioh ang moo thoo hoo nua kiau tshia e tshia thau thap o tsit e tsin giam tiong
299,kio siann mih mia
300,li khuann mui tsu oo tsiah kgau khinn ke tsit ma tsing hui tsiah bat tai tsi gua tui tan  ka u kau tai ah lah
301,lan sit pai kui beh pue bong
302,bo lun lu ho li gua i king tsit tui ho tsing pkhuann
303,kue lai tsit si a lah
304,lai tse lai tse
305,sin lun te tshia kai sue tsok tsiah soo kong lu sing m si tshut si to tsiann tso lu sing si hong kau iok tso tu sing e tsit ku ue e i ham tsap un
306,oo oo a tsit e tua mng honnh koh kah ting khah kuan leh
307,ho i iau na si huat sio tshiau kue tnng kang tioh ai sui ai kiam tsa oo
308,ah sui kam moo a pat tsoo li the i tshing ka
309,aih ioh
310,heh heh
311,i tsiok gau kah lang kau pue
312,hun lim kuan koo khenn hiong inn khuan pinn a to u tsit king sann tsap ni kiunn bo a lau tiam
313,li tioh ai khun khun hoo pa
314,m thang tsha i
315,un tsiunn si kan tan e peh tshoo ka suan jiong
316,li nng e ti hia si si sut sut si teh kong siannh
317,li siam mih si tsun beh tng khi tai pah
318,p of ab uan sio i pof a sing p of b soo i mi of ab ci hu soo
319,eh ah li tsiah kau gua kai mia lah ah lin pe kioh tso tsioh a kau lah
320,a ma bo peh thiann li
321,tong sing hun hap phuat hua koah lai khuann o tsiu
322,a hah a ha a tsiong peh a a tsiunn peh ah
323,tshian pa lah si gun a kong khah tsa siong ai khuann e hi
324,tsit e ah si hit le
325,gua e sim
326,ti tioh ka png tsiah hoo liau
327,li lai kau koo bio e ka lai
328,ah pah maie phaha au pai m kah a
329,gua khuann tioh ti a
330,i ka lin peh tiam beh kong
331,suann ting long tah bu peh bong bong siann mih long khuann bo
332,he thaiu e sai gua iau be tsiah tioh neh u lang bo huann hi beh tua siann huah
333,ke lang bio khau e thian pu lah siong u mia
334,ho ah inn a i king tsiah liau a kin a jit to kau tsia ui tsi looh han tsing li an ne ka tak ke kong
335,li iong i e kua siann kah hian a e bi miau e suan lut ka ping an ham hing hok thuan tat tshut khi
336,si tsap si phinn sin ho lam jsin bo beh tau senn uannh tsi itmama e kam tong
337,tsit siang bue a
338,tiau tat ka ti e tsu tiunn tshu bi ah si kong tsit kua tshio khue
339,in tau e tian hue long uann e loo i d a ke tsiann kng ne
340,tioh ai peh bu tsu hun ai u jin ke e lang kai siau tui hong tsa poo a m tsai him ah hoo luan luan kau
341,a bu gua ia m si sann hue gin a na e be hong si m
342,tsiok tse lang leh io a lak a e ti siann mih si tsun to tann
343,gua e sing khuann lah
344,o tsiu kok hue ma ti ji khong it ji ni piau kuat tong sing hun hap huat hua e gi te tsan sing phai su ka thng khoo
345,lai tshiunn kua
346,gua thai ai li soo i tsiah tsiah ni tshong pong
